,Place,room,bed,Condition,price,Rating,reviews
7864,Sakon Nakhon,Deluxe Double Room,1 extra-large double bed,Good,30.0,7.6,14.0
7865,"Klong Nin Beach, Ko Lanta",Deluxe King Suite,Private suite1 large double bed,Superb,129.0,9.1,14.0
7866,"Sairee Beach, Koh Tao",Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,117.0
7867,"Aow Yai Beach, Ko Phayam",Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Good,39.0,7.7,54.0
7868,Ao Nang Beach,Villa with Private Pool,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 710.4feet²3 beds (1 sofa bed, 2 large doubles)",Superb,140.0,9.3,293.0
7869,"Dongtan Beach, Pattaya South",Superior Double or Twin Room with Pool View,1 large double bed,Very good,74.0,8.0,172.0
7870,Ao Nang Beach,Deluxe Twin Room with Balcony,2 single beds,Fabulous,54.0,8.9,552.0
7871,Thongsala,Villa,Entire villa • 1 bedroom • 1 bathroom • 215.3feet²1 large double bed,Review score,77.0,6.7,112.0
7872,Klong Wan,King Room with Mountain View,1 extra-large double bed,Good,17.0,7.9,35.0
7873,Bor Saen,Double Room with Lake View,1 large double bed,Good,26.0,7.7,31.0
7874,Phuket Town,Deluxe Bungalow,Multiple bed types,Fabulous,43.0,8.7,96.0
7875,Patong Beach,Standard Room,Multiple bed types,Fabulous,204.0,8.8,953.0
7876,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,43.0,7.8,45.0
7877,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,43.0,7.8,144.0
7878,Railay Beach,Double Room,1 double bed,Review score,43.0,6.7,259.0
7879,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,90.0,6.4,240.0
7880,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,82.0,9.1,729.0
7881,"Bangsak Beach, Khao Lak",Superior,"Entire bungalow • 1 bedroom • 1 bathroom • 484.4feet²2 beds (1 double, 1 sofa bed)",Superb,43.0,9.0,270.0
7882,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,56.0,7.4,265.0
7883,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,41.0,7.7,168.0
7884,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,50.0,6.3,87.0
7885,"Thonburi, Bangkok",Deluxe Room,Multiple bed types,Fabulous,43.0,8.9,592.0
7886,Ko Phayam,Seaview Bungalows,1 large double bed,Fabulous,43.0,8.6,29.0
7887,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,16.0,6.5,14.0
7889,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,40.0,7.6,41.0
7890,Pai,Standard Queen Room,1 double bed,Good,18.0,7.5,152.0
7891,Mu Si,Family Suite,2 double beds,Good,451.0,7.5,39.0
7892,"White Sand Beach, Ko Chang",Koh Chang Hillside Room,Beds: 1 double or 2 singles,Very good,43.0,8.3,359.0
7893,Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,43.0,8.2,47.0
7894,Pattaya North,Deluxe Room,1 extra-large double bed,Fabulous,43.0,8.8,563.0
7895,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,40.0,6.8,150.0
7896,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,24.0,8.5,46.0
7897,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,40.0,9.7,78.0
7898,Patong Beach,Superior City View - ABSC Wing,Beds: 1 double or 2 singles,Very good,43.0,8.0,183.0
7899,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,50.0,8.7,8.0
7900,Tha Lane Bay,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Superb,10.0,9.0,45.0
7901,Cha Am,Deluxe Double or Twin Room with Mountain View,Multiple bed types,Very good,43.0,8.5,105.0
7902,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,43.0,7.8,45.0
7903,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,43.0,7.8,144.0
7904,Railay Beach,Double Room,1 double bed,Review score,43.0,6.7,259.0
7905,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,90.0,6.4,240.0
7906,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,82.0,9.1,729.0
7907,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,56.0,7.4,265.0
7908,Koh Tao,Standard Bungalow (2 Adults),Entire bungalow • 1 bedroom • 1 bathroom • 172.2feet²1 large double bed,Good,41.0,7.7,168.0
7909,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,50.0,6.3,87.0
7910,Ko Phayam,Seaview Bungalows,1 large double bed,Fabulous,43.0,8.6,29.0
7911,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,16.0,6.5,14.0
7913,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,40.0,7.6,41.0
7914,Pai,Standard Queen Room,1 double bed,Good,18.0,7.5,152.0
7915,Mu Si,Family Suite,2 double beds,Good,451.0,7.5,39.0
7916,"White Sand Beach, Ko Chang",Koh Chang Hillside Room,Beds: 1 double or 2 singles,Very good,43.0,8.3,359.0
7917,Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,43.0,8.2,47.0
7918,Pattaya North,Deluxe Room,1 extra-large double bed,Fabulous,43.0,8.8,563.0
7919,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,40.0,6.8,150.0
7920,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,24.0,8.5,46.0
7921,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,40.0,9.7,78.0
7922,Patong Beach,Superior City View - ABSC Wing,Beds: 1 double or 2 singles,Very good,43.0,8.0,183.0
7923,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,50.0,8.7,8.0
7924,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,22.0,8.7,38.0
7925,Klong Muang Beach,Standard Bungalow with Fan (near street),Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,11.0,8.1,157.0
7926,Chao Lao Beach,Deluxe Twin Room with Pool View,2 single beds,Good,108.0,7.8,19.0
7927,Mae Nam,Tropical Villa,Entire villa • 1 bedroom • 1 bathroom • 990.3feet²1 double bed,Fabulous,189.0,8.8,45.0
7928,Chiang Rai,Deluxe Twin Room,2 single beds,Good,43.0,7.5,27.0
7929,Ban Pak Yang,Building Room,2 single beds,Good,43.0,7.8,26.0
7930,Chaweng Noi Beach,Ocean view executive 2 bedroom villa,"Entire villa • 2 bedrooms • 2 bathrooms • 1,291.7feet²2 extra-large double beds",Very good,43.0,8.5,12.0
7931,"Nopparat Thara Beach, Ao Nang Beach",Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 large double bed,Very good,46.0,8.0,140.0
7933,Laem Sing,Comfort Double or Twin Room,Beds: 1 double or 2 singles,Good,40.0,7.2,24.0
7934,"Klong Nin Beach, Ko Lanta",Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 extra-large double bed,Very good,36.0,8.4,52.0
7935,"Kan Tiang Beach, Ko Lanta",Suite,1 double bed,Good,43.0,7.8,115.0
7936,Nong Prue,Deluxe Double Room with Garden View,1 double bed,Very good,43.0,8.5,21.0
7937,Pong Talong,Standard King Room,1 extra-large double bed,Exceptional,57.0,9.5,60.0
7938,Pai,Honey Duble Room,1 large double bed,Good,28.0,7.8,154.0
7939,"Sairee Beach, Koh Tao",Premium Twin Room,2 single beds,Good,46.0,7.5,202.0
7940,"Phra Ae Beach, Ko Lanta",Double Room with Garden View,1 double bed,Fabulous,57.0,8.9,103.0
7941,Klong Muang Beach,Twin Room with Pool View,2 single beds,Superb,41.0,9.2,60.0
7942,Hua Hin,Standard King Room,1 large double bed,Good,43.0,7.9,68.0
7943,Ban Bang Phra,Deluxe King Room,1 extra-large double bed,Good,21.0,7.8,6.0
7944,Sakon Nakhon,Deluxe Double Room,1 extra-large double bed,Good,30.0,7.6,14.0
7945,"Klong Nin Beach, Ko Lanta",Deluxe King Suite,Private suite1 large double bed,Superb,129.0,9.1,14.0
7946,"Sairee Beach, Koh Tao",Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,117.0
7947,"Aow Yai Beach, Ko Phayam",Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Good,39.0,7.7,54.0
7948,Ao Nang Beach,Villa with Private Pool,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 710.4feet²3 beds (1 sofa bed, 2 large doubles)",Superb,140.0,9.3,293.0
7949,"Dongtan Beach, Pattaya South",Superior Double or Twin Room with Pool View,1 large double bed,Very good,74.0,8.0,172.0
7950,Ao Nang Beach,Deluxe Twin Room with Balcony,2 single beds,Fabulous,54.0,8.9,552.0
7951,Thongsala,Villa,Entire villa • 1 bedroom • 1 bathroom • 215.3feet²1 large double bed,Review score,77.0,6.7,112.0
7952,Klong Wan,King Room with Mountain View,1 extra-large double bed,Good,17.0,7.9,35.0
7953,Bor Saen,Double Room with Lake View,1 large double bed,Good,26.0,7.7,31.0
7954,Phuket Town,Deluxe Bungalow,Multiple bed types,Fabulous,43.0,8.7,96.0
7955,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom1 single bed,Superb,62.0,9.1,21.0
7956,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,32.0,8.8,288.0
7957,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,24.0,8.4,107.0
7958,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,16.0,7.7,50.0
7959,Ban Cha-om,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 extra-large double bed,Good,42.0,7.7,21.0
7960,Ban Bua Yai,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 large double bed,Exceptional,16.0,9.5,4.0
7961,Nong Sarai,Standard Double Room,1 extra-large double bed,Very good,48.0,8.3,91.0
7962,Chao Lao Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Superb,46.0,9.0,11.0
7963,"Haad Rin Nai, Haad Rin",Garden Bungalow with Twin bed,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Very good,112.0,8.3,230.0
7964,Bangkok,Studio,Entire studio • 1 bathroom • 484.4feet²1 extra-large double bed,Good,44.0,7.9,275.0
7965,Chaweng,Triple Room with Lake View,"2 beds (1 double, 1 sofa bed)",Very good,64.0,8.4,138.0
7966,"Fisherman Village, Bophut",Deluxe Garden View Room,1 extra-large double bed,Superb,297.0,9.1,102.0
7967,Cha Am,Superior Double or Twin Room,Multiple bed types,Fabulous,50.0,8.6,138.0
7969,Nong Sarai,Villa,1 extra-large double bed,Superb,43.0,9.1,38.0
7970,"Nang Thong Beach, Khao Lak",Superior Double or Twin Room,Beds: 1 double or 2 singles,Very good,43.0,8.2,52.0
7971,Koh Tao,Superior Room,2 single beds,Good,43.0,7.6,305.0
7972,Nan,King Room with Balcony,1 extra-large double bed,Superb,44.0,9.3,33.0
7973,"Laem Pakarang Beach, Khao Lak",Superior Double or Twin Room,Multiple bed types,Very good,43.0,8.4,96.0
7974,Kamala Beach,Deluxe Room Partial Sea View,Beds: 1 double or 2 singles,Good,91.0,7.8,805.0
7975,Koh Tao,Superior Double Room with Sea View,1 extra-large double bed,Fabulous,63.0,8.9,318.0
7976,Chumphon,Deluxe Double Room with Balcony and Sea View,Multiple bed types,Fabulous,125.0,8.7,89.0
7977,Chaweng Noi Beach,Studio,Entire studio • 1 bathroom • 430.6feet²1 large double bed,Review score,43.0,6.5,103.0
7978,"Phra Ae Beach, Ko Lanta",Double Room with Garden View,1 large double bed,Superb,75.0,9.1,66.0
7979,Tonsai Beach,Double Room with Balcony and Sea View,1 large double bed,Very good,28.0,8.1,32.0
7980,"Bang Niang Beach, Khao Lak",Family Junior Suite,"2 beds (1 extra-large double, 1 bunk bed)",Superb,69.0,9.0,241.0
7981,Thai Muang,Studio,Entire studio • 301.4feet²1 double bed,Very good,22.0,8.0,1.0
7982,Ko Lanta,Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²1 double bed,Exceptional,75.0,9.5,76.0
7984,Sam Roi Yot,Beach Villa,Entire villa • 1 bedroom • 1 bathroom • 592feet²1 large double bed,Good,46.0,7.2,22.0
7985,Klong Muang Beach,Standard Bungalow with Fan (near street),Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,11.0,8.1,157.0
7986,Chao Lao Beach,Deluxe Twin Room with Pool View,2 single beds,Good,108.0,7.8,19.0
7987,Mae Nam,Tropical Villa,Entire villa • 1 bedroom • 1 bathroom • 990.3feet²1 double bed,Fabulous,189.0,8.8,45.0
7988,Chiang Rai,Deluxe Twin Room,2 single beds,Good,43.0,7.5,27.0
7989,Ban Pak Yang,Building Room,2 single beds,Good,43.0,7.8,26.0
7990,Chaweng Noi Beach,Ocean view executive 2 bedroom villa,"Entire villa • 2 bedrooms • 2 bathrooms • 1,291.7feet²2 extra-large double beds",Very good,43.0,8.5,12.0
7991,"Nopparat Thara Beach, Ao Nang Beach",Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 large double bed,Very good,46.0,8.0,140.0
7993,Laem Sing,Comfort Double or Twin Room,Beds: 1 double or 2 singles,Good,40.0,7.2,24.0
7994,"Klong Nin Beach, Ko Lanta",Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 extra-large double bed,Very good,36.0,8.4,52.0
7995,"Kan Tiang Beach, Ko Lanta",Suite,1 double bed,Good,43.0,7.8,115.0
7996,Nong Prue,Deluxe Double Room with Garden View,1 double bed,Very good,43.0,8.5,21.0
7997,Pong Talong,Standard King Room,1 extra-large double bed,Exceptional,57.0,9.5,60.0
7998,Pai,Honey Duble Room,1 large double bed,Good,28.0,7.8,154.0
7999,"Sairee Beach, Koh Tao",Premium Twin Room,2 single beds,Good,46.0,7.5,202.0
8000,"Phra Ae Beach, Ko Lanta",Double Room with Garden View,1 double bed,Fabulous,57.0,8.9,103.0
8001,Klong Muang Beach,Twin Room with Pool View,2 single beds,Superb,41.0,9.2,60.0
8002,Hua Hin,Standard King Room,1 large double bed,Good,43.0,7.9,68.0
8003,Ban Bang Phra,Deluxe King Room,1 extra-large double bed,Good,21.0,7.8,6.0
8004,Sakon Nakhon,Deluxe Double Room,1 extra-large double bed,Good,30.0,7.6,14.0
8005,"Klong Nin Beach, Ko Lanta",Deluxe King Suite,Private suite1 large double bed,Superb,129.0,9.1,14.0
8006,"Sairee Beach, Koh Tao",Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,117.0
8007,"Aow Yai Beach, Ko Phayam",Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Good,39.0,7.7,54.0
8008,Ao Nang Beach,Villa with Private Pool,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 710.4feet²3 beds (1 sofa bed, 2 large doubles)",Superb,140.0,9.3,293.0
8009,"Dongtan Beach, Pattaya South",Superior Double or Twin Room with Pool View,1 large double bed,Very good,74.0,8.0,172.0
8010,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,39.0,7.8,45.0
8011,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,40.0,7.8,144.0
8012,Railay Beach,Double Room,1 double bed,Review score,43.0,6.7,259.0
8013,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,83.0,6.4,240.0
8014,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,82.0,9.1,729.0
8015,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,56.0,7.4,265.0
8016,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,41.0,7.7,168.0
8017,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,50.0,6.3,87.0
8018,Ko Phayam,Seaview Bungalows,1 large double bed,Fabulous,43.0,8.6,29.0
8019,Ban Bang Po,Bungalow with Air Conditioning,Entire bungalow • 1 bedroom • 1 bathroom • 258.3feet²1 large double bed,Good,37.0,7.4,68.0
8020,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,14.0,6.5,14.0
8022,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,37.0,7.6,41.0
8023,Pai,Standard Queen Room,1 double bed,Good,17.0,7.5,152.0
8024,Mu Si,Family Suite,2 double beds,Good,415.0,7.5,39.0
8025,Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,2012.0,8.2,47.0
8026,Pattaya North,Deluxe Room,1 extra-large double bed,Fabulous,43.0,8.8,563.0
8027,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,40.0,6.8,150.0
8028,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,22.0,8.5,46.0
8029,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,40.0,9.7,78.0
8030,Patong Beach,Superior City View - ABSC Wing,Beds: 1 double or 2 singles,Very good,43.0,8.0,183.0
8031,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,46.0,8.7,8.0
8032,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,20.0,8.7,38.0
8033,Sawankhalok,Standard Queen Room,1 large double bed,Good,16.0,7.9,10.0
8034,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,59.0,9.1,21.0
8035,Rawai Beach,Studio (2 Adults),Entire studio • 1 bathroom • 1 kitchen • 452.1feet²1 extra-large double bed,Fabulous,43.0,8.6,242.0
8036,Ban Nong Ban Kao,Budget Double Room,1 large double bed,Good,21.0,7.5,2.0
8037,Sai Yok,Standard Double Room with Fan,1 large double bed,Very good,14.0,8.2,99.0
8038,Mae Nam,Partner offer option,2 single beds,Good,43.0,7.5,150.0
8040,Ban Pru Yai,Standard King Room,1 extra-large double bed,Fabulous,20.0,8.8,4.0
8041,"Mueang Kao, Sukhothai",King Room with Balcony,1 extra-large double bed,Superb,24.0,9.4,57.0
8042,Ko Samed,Garden Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,076.4feet²1 large double bed",Superb,43.0,9.0,39.0
8043,Ban Krut,Standard Triple Room,"2 beds (1 single, 1 large double)",Very good,43.0,8.2,57.0
8044,"Ao Prao, Ko Samed",Deluxe Cottage Hillside,Entire chalet • 1 bedroom • 1 bathroom • 484.4feet²2 single beds,Superb,43.0,9.1,76.0
8045,Surin,Standard Queen Room,1 large double bed,Superb,22.0,9.3,7.0
8046,Khlung,Standard Double Room,1 double bed,Good,13.0,7.4,5.0
8047,Ko Jum,Standard Villa,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 645.8feet²1 extra-large double bed,Fabulous,53.0,8.8,54.0
8048,"Klong Nin Beach, Ko Lanta",Basic Double Room,1 large double bed,Good,39.0,7.4,112.0
8049,Phra Nakhon Si Ayutthaya,Standard Triple Room,"2 beds (1 large double, 1 futon)",Very good,24.0,8.0,309.0
8050,Chiang Mai,Deluxe Double or Twin Room,2 single beds,Superb,89.0,9.1,37.0
8051,Patong Beach,Deluxe Pool Access Room,1 large double bed,Very good,288.0,8.0,548.0
8052,"Laguna Phuket, Bang Tao Beach",Laguna Room,Multiple bed types,Very good,425.0,8.2,381.0
8053,Haad Rin,Ocean View Superior (Upper Unit),Entire bungalow • 1 bedroom • 1 bathroom • 344.4feet²2 single beds,Review score,58.0,6.5,85.0
8054,Lamai,Double Room with Sea View - Second Floor,1 large double bed,Superb,131.0,9.1,113.0
8055,Khanom,Standard Double or Twin Room with Sea View,"3 beds (2 singles, 1 double)",Good,55.0,7.3,26.0
8056,"Ko Lipe Sunset Beach, Ko Lipe",Seaview Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 extra-large double bed,Good,84.0,7.7,248.0
8057,"Ko Lipe Pattaya Beach, Ko Lipe",Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 172.2feet²1 large double bed,Good,91.0,7.5,90.0
